Kp,Ki,Kd,Perf
4.842037080439724406e+01,7.464458964952824793e+00,2.855208235832884966e+01,8.391398634505396359e+00
8.418759136081295935e+01,8.821545520465640777e+00,4.369162857514459120e+01,9.675843516758108720e+00
1.622038392267214135e+02,3.058338650707081996e+00,1.624111853692481588e+01,9.423331384342354511e+00
6.269163399321026731e+01,1.621735004624224885e+01,4.438865350191370851e+01,1.622623211274582289e+01
9.553663492993814543e+01,4.790391992572924806e+00,1.365548194920071978e+01,8.565535510821774778e+00
9.078137883786268958e+01,8.809371994107870307e+00,2.512793295822503481e+01,9.573471489879516128e+00
7.025307122501892820e+01,3.369352844319468687e+00,3.980421239560686786e+01,1.451693049903240507e+01
1.848384483806266587e+02,4.213002693018941258e-01,1.124250620722751037e+01,9.720254749998485266e+00
1.164554974847838338e+02,7.524956597895826604e+00,1.051500188934109126e+01,9.031125904045531172e+00
1.161145538560589507e+01,1.210964476370197040e+01,1.213383758872771878e+01,8.910276972828933495e+00
1.454282013013501285e+02,1.188743677826146339e+01,2.805057156597231582e+01,1.066896770396437688e+01
7.782439305720562572e+01,8.815190579441569696e+00,2.869113097280574110e+01,1.009239831479757044e+01
1.175163314937500729e+02,9.416062954755961556e+00,1.021899859080340178e+01,9.062690855235782550e+00
1.673132565229401223e+02,1.761968746004908581e+01,2.074654611420804073e+01,9.891814820931504215e+00
1.865892541096435053e+01,1.195947067021030641e+01,1.904288877628393806e+01,8.758360469324093955e+00
1.558548837786344734e+02,3.097938961758828214e+00,2.724191936594026586e+01,1.059048575051812158e+01
1.194356985371171476e+02,1.952364007184808070e+00,3.769264346102915653e+01,8.977387758673970097e+00
2.941655622449961172e+01,1.141479455732335779e+01,2.912054310889405428e+01,8.562741935887260070e+00
1.688672581157342734e+01,6.803413046064656911e+00,2.801028290426004830e+01,9.060718656389015635e+00
1.185302597710115009e+02,1.477183007242381052e+01,4.065219887104948526e+01,1.670358547199667143e+01
6.576739841941935083e+01,1.008126788738396584e+01,4.347124375510871630e+01,1.117653480229023089e+01
1.770060088314985336e+01,1.214557262931169213e+01,4.829544235232805249e+01,5.179804545302216212e+01
5.689081598662934880e+01,1.736232169472896913e+01,1.055578967588552963e+01,8.161143715204493887e+00
1.495867277277937148e+02,1.381317323844015554e+01,8.849063141974083280e+00,9.453759879762252183e+00
1.892326878378224535e+02,1.738830501565409037e+01,3.911154845425031112e+01,1.818767510977808044e+01
1.830224816677861668e+02,5.773593745719017178e+00,3.344446895961447552e+01,1.053937388899789163e+01
4.162450345378854877e+01,8.434095290572811265e+00,1.586204750963787724e+01,8.465596107474368637e+00
6.679597285663405160e+01,1.059284216266010503e+01,4.154910979622523115e+01,1.016606362463691049e+01
1.334485176511688564e+02,7.216322502072767264e+00,3.249397132963095913e+01,1.007174171196083812e+01
1.600325458204024756e+02,1.240667994829916054e+01,4.632937050768269671e+01,3.712387727261936021e+01
8.224520702382760362e+01,8.713772231886661501e+00,1.022067670807849638e+01,8.643551247223063783e+00
1.783857062680204990e+02,2.534580363132759029e+00,3.209486505669269718e+01,9.862967344792929580e+00
1.166069870088115579e+02,1.318019667074263879e+00,4.071884992503098033e+01,2.087144125624119795e+01
1.657731147921724073e+02,1.173343657656447725e+01,1.323117699785103518e+00,6.384296569706402913e+00
2.816316432520967084e+01,6.377635901335930058e+00,4.973748423752052616e+01,1.047062799239396185e+02
